Word,Max,Expected,Median,25th Perc,75th Perc
HUMPS,191,60.75111773472429,34.0,13.0,79.0
STUNG,163,60.75558867362146,33.0,18.0,113.0
PUCKS,180,60.95976154992548,38.0,13.0,75.0
SHOCK,155,60.96423248882265,36.0,13.0,97.0
COOTS,190,60.98286140089419,38.0,17.0,98.0
POLOS,179,61.050670640834575,37.0,19.0,101.0
TOUSY,185,61.073025335320416,41.0,15.0,87.0
STUCK,166,61.11922503725783,41.0,19.0,95.0
SOLON,173,61.152011922503725,38.0,22.0,111.0
GHOST,156,61.16542473919523,46.0,16.0,109.0
POOTS,188,61.19672131147541,36.0,19.0,97.0
SHOOL,168,61.26154992548435,43.0,25.0,103.0
POUFS,181,61.34426229508197,37.0,14.0,80.0
YOUKS,184,61.55439642324888,39.0,16.0,89.0
GONKS,168,61.57675111773472,54.0,11.0,91.0
LOOMS,176,61.58345752608048,45.0,31.0,86.0
BOWLS,163,61.70640834575261,48.0,18.0,108.0
SLOOP,168,61.71385991058122,48.0,23.0,108.0
SLOOM,161,61.80998509687034,50.0,27.0,80.0
TOSHY,186,61.8166915052161,41.0,15.0,89.0
SOUGH,185,61.94634873323398,36.0,12.0,106.0
LOCOS,180,62.0096870342772,42.0,20.0,102.0
POUTY,192,62.049180327868854,41.0,13.0,95.0
SPUMY,188,62.14157973174367,47.0,14.75,82.0
PLUSH,185,62.16691505216095,44.0,13.0,86.0
HOCKS,177,62.24441132637854,37.0,13.0,96.0
SHOOT,169,62.27123695976155,47.0,24.0,85.0
POYNT,177,62.29806259314456,41.0,19.0,104.0
MULSH,193,62.3070044709389,51.0,15.0,78.0
SNOTS,154,62.30774962742176,44.0,20.0,109.0
YOMPS,195,62.3532041728763,50.0,13.0,79.0
SOOTY,205,62.364381520119224,52.0,19.0,88.0
GOSHT,183,62.39046199701937,36.0,17.0,99.0
SCOOT,162,62.406110283159464,49.0,26.0,89.0
BONGS,179,62.47391952309985,56.0,14.0,100.0
SPOOT,167,62.49329359165425,53.0,27.0,81.0
YOUTH,184,62.61847988077496,38.0,14.0,99.0
GOWLS,168,62.63189269746647,47.0,16.0,103.0
YOWLS,186,62.63487332339791,44.0,16.25,80.0
UNCOS,172,62.65424739195231,45.0,20.0,105.0
SUCKY,185,62.66467958271237,54.0,15.0,88.0
SHOWY,169,62.745156482861404,53.0,19.0,84.0
SOOTH,197,62.9053651266766,46.0,18.0,97.0
BOCKS,173,63.00298062593144,56.0,14.0,99.0
POULT,198,63.00447093889717,41.0,15.0,80.0
NOLLS,163,63.113263785394935,46.0,25.0,97.0
OULKS,175,63.18777943368107,39.0,16.0,74.0
SPOOL,168,63.195230998509686,47.0,28.0,108.0
MOULT,193,63.22950819672131,37.0,16.0,80.0
SPUNK,167,63.28315946348733,37.0,21.0,103.0
STOOP,167,63.28688524590164,53.0,27.25,81.0
PHONY,178,63.30253353204173,37.0,17.0,107.0
MOOTS,188,63.42026825633383,44.0,21.0,103.0
NUMBS,188,63.49478390461997,45.0,16.0,77.0
LUSHY,198,63.50819672131148,41.0,19.0,85.0
SWOUN,136,63.54992548435171,66.0,20.0,103.0
POWNS,171,63.561847988077496,46.0,16.0,108.0
BUMPS,186,63.65126676602087,43.0,14.0,76.0
HOUFS,185,63.69597615499255,36.0,14.0,91.0
TOCOS,190,63.704918032786885,41.0,21.0,106.0
LOOKS,167,63.78464977645306,49.0,30.5,95.0
SMOOT,160,63.86512667660209,57.0,29.0,90.0
KNOSP,151,63.87332339791356,43.0,22.0,114.0
HOOTS,198,63.91654247391952,38.0,18.25,102.0
SHOWN,159,63.92101341281669,46.0,18.0,114.0
MUNGS,192,63.965722801788374,32.0,14.0,75.0
GUMPS,185,64.04769001490313,42.0,12.0,77.0
TOPOS,188,64.20119225037257,39.0,24.0,106.0
WHOPS,159,64.21460506706408,42.0,16.0,115.0
SLOSH,168,64.29806259314456,50.0,22.0,103.0
BOGUS,183,64.38152011922504,52.0,15.0,89.0
SLUTS,177,64.41356184798808,37.0,21.0,98.0
COLBY,187,64.46944858420268,40.0,15.0,103.0
SLOPS,168,64.6892697466468,55.0,18.0,101.0
CHUBS,193,64.69001490312965,32.0,15.0,98.0
GONYS,201,64.69150521609538,56.0,12.0,89.0
TOOMS,188,64.75409836065573,44.0,25.0,103.0
KOLOS,167,64.87034277198211,44.0,23.0,95.0
PUNTY,209,64.90312965722802,45.0,15.25,88.0
SCOTS,162,64.95901639344262,46.0,24.0,110.0
